j - 390	 i - 21
j - 391	 i - 23
j - 392	 i - 7
j - 393	 i - 17
j - 394	 i - 15
j - 395	 i - 21
j - 396	 i - 10
j - 397	 i - 15
j - 398	 i - 6
j - 399	 i - 0
j - 400	 i - 4
j - 401	 i - 18
j - 402	 i - 1
j - 403	 i - 14
j - 404	 i - 3
j - 405	 i - 11
j - 406	 i - 9
j - 407	 i - 23
j - 408	 i - 19
j - 409	 i - 16
j - 410	 i - 10
j - 411	 i - 15
j - 412	 i - 10
j - 413	 i - 0
j - 414	 i - 9
j - 415	 i - 20
j - 416	 i - 17
j - 417	 i - 1
j - 418	 i - 4
j - 419	 i - 9
j - 420	 i - 8
j - 421	 i - 21
j - 422	 i - 5
j - 423	 i - 20
j - 424	 i - 5
j - 425	 i - 3
j - 426	 i - 22
j - 427	 i - 24
j - 428	 i - 10
j - 429	 i - 17
j - 430	 i - 4
j - 431	 i - 2
j - 432	 i - 3
j - 433	 i - 20
j - 434	 i - 14
j - 435	 i - 13
j - 436	 i - 7
j - 437	 i - 21
j - 438	 i - 15
j - 439	 i - 20
j - 440	 i - 20
j - 441	 i - 21
j - 442	 i - 14
j - 443	 i - 10
j - 444	 i - 24
j - 445	 i - 21
j - 446	 i - 19
j - 447	 i - 0
j - 448	 i - 19
j - 449	 i - 10
j - 450	 i - 20
j - 451	 i - 6
j - 452	 i - 8
j - 453	 i - 16
j - 454	 i - 1
j - 455	 i - 3
j - 456	 i - 4
j - 457	 i - 22
j - 458	 i - 0
j - 459	 i - 11
j - 460	 i - 17
j - 461	 i - 9
j - 462	 i - 17
j - 463	 i - 22
j - 464	 i - 4
j - 465	 i - 17
j - 466	 i - 22
j - 467	 i - 20
j - 468	 i - 3
j - 469	 i - 12
j - 470	 i - 24
j - 471	 i - 2
j - 472	 i - 23
j - 473	 i - 5
j - 474	 i - 4
j - 475	 i - 4
j - 476	 i - 14
j - 477	 i - 23
j - 478	 i - 16
j - 479	 i - 7
j - 480	 i - 10
j - 481	 i - 8
j - 482	 i - 6
j - 483	 i - 9
j - 484	 i - 7
j - 485	 i - 11
j - 486	 i - 13
j - 487	 i - 1
j - 488	 i - 9
j - 489	 i - 23
j - 490	 i - 18
j - 491	 i - 11
j - 492	 i - 20
j - 493	 i - 24
j - 494	 i - 18
j - 495	 i - 12
j - 496	 i - 23
j - 497	 i - 22
j - 498	 i - 24
j - 499	 i - 11
j - 500	 i - 12
j - 501	 i - 7
j - 502	 i - 16
j - 503	 i - 4
j - 504	 i - 10
j - 505	 i - 4
j - 506	 i - 17
j - 507	 i - 1
j - 508	 i - 6
j - 509	 i - 4
j - 510	 i - 22
j - 511	 i - 17
j - 512	 i - 17
j - 513	 i - 2
j - 514	 i - 2
j - 515	 i - 16
j - 516	 i - 13
j - 517	 i - 2
j - 518	 i - 21
j - 519	 i - 4
j - 520	 i - 23
j - 521	 i - 20
j - 522	 i - 19
j - 523	 i - 19
j - 524	 i - 22
j - 525	 i - 24
j - 526	 i - 7
j - 527	 i - 4
j - 528	 i - 1
j - 529	 i - 9
j - 530	 i - 23
j - 531	 i - 17
j - 532	 i - 18
j - 533	 i - 4
j - 534	 i - 9
j - 535	 i - 2
j - 536	 i - 24
j - 537	 i - 15
j - 538	 i - 16
j - 539	 i - 22
j - 540	 i - 18
j - 541	 i - 17
j - 542	 i - 22
j - 543	 i - 9
j - 544	 i - 12
j - 545	 i - 20
j - 546	 i - 8
j - 547	 i - 12
j - 548	 i - 10
j - 549	 i - 13
j - 550	 i - 6
j - 551	 i - 1
j - 552	 i - 3
j - 553	 i - 6
j - 554	 i - 24
j - 555	 i - 9
j - 556	 i - 6
j - 557	 i - 11
j - 558	 i - 24
j - 559	 i - 11
j - 560	 i - 5
j - 561	 i - 0
j - 562	 i - 5
j - 563	 i - 17
j - 564	 i - 17
j - 565	 i - 22
j - 566	 i - 3
j - 567	 i - 3
j - 568	 i - 23
j - 569	 i - 20
j - 570	 i - 17
j - 571	 i - 3
j - 572	 i - 1
j - 573	 i - 18
j - 574	 i - 4
j - 575	 i - 1
j - 576	 i - 5
j - 577	 i - 10
j - 578	 i - 4
j - 579	 i - 2
j - 580	 i - 19
j - 581	 i - 20
j - 582	 i - 6
j - 583	 i - 4
j - 584	 i - 24
j - 585	 i - 10
j - 586	 i - 3
j - 587	 i - 20
j - 588	 i - 6
j - 589	 i - 5
j - 590	 i - 10
j - 591	 i - 1
j - 592	 i - 6
j - 593	 i - 13
j - 594	 i - 16
j - 595	 i - 16
j - 596	 i - 7
j - 597	 i - 10
j - 598	 i - 23
j - 599	 i - 6
j - 600	 i - 6
j - 601	 i - 14
j - 602	 i - 11
j - 603	 i - 16
j - 604	 i - 16
j - 605	 i - 8
j - 606	 i - 14
j - 607	 i - 15
j - 608	 i - 17
j - 609	 i - 8
j - 610	 i - 14
j - 611	 i - 2
j - 612	 i - 20
j - 613	 i - 24
j - 614	 i - 16
j - 615	 i - 3
j - 616	 i - 22
j - 617	 i - 5
j - 618	 i - 13
j - 619	 i - 4
j - 620	 i - 10
j - 621	 i - 14
j - 622	 i - 2
j - 623	 i - 19
j - 624	 i - 1
j - 625	 i - 1
j - 626	 i - 13
j - 627	 i - 4
j - 628	 i - 18
